epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.61959,1.13731,2.94931,1.48156,0.78344,0.85161,0.81904,0.66428,1.27796,1.17009,1.16978,0,0,0
2,5.37328,1.15383,2.31842,1.43874,0.78221,0.85292,0.81858,0.66301,1.27157,1.17057,1.16897,1.17822e-06,1.17822e-06,1.17822e-06
3,7.98529,1.55186,3.99654,1.78566,0.77776,0.85153,0.82005,0.66892,1.26674,1.16801,1.16838,2.33288e-06,2.33288e-06,2.33288e-06
4,10.7514,1.112,2.56134,1.29423,0.77257,0.84925,0.82029,0.66961,1.26237,1.1692,1.16764,3.46397e-06,3.46397e-06,3.46397e-06
5,13.4443,1.33694,2.48315,1.65787,0.76763,0.82067,0.80575,0.65822,1.25814,1.1707,1.1668,4.5715e-06,4.5715e-06,4.5715e-06
6,16.06,1.53794,3.52497,1.87447,0.77388,0.84511,0.81943,0.66411,1.26147,1.18493,1.17011,5.65548e-06,5.65548e-06,5.65548e-06
7,18.7475,1.12971,1.53154,1.38892,0.7696,0.84542,0.81944,0.66358,1.25583,1.17876,1.1695,6.71588e-06,6.71588e-06,6.71588e-06
8,22.0451,1.25263,3.14907,1.59019,0.76964,0.84141,0.81966,0.66406,1.25927,1.18046,1.17125,7.75273e-06,7.75273e-06,7.75273e-06
9,25.4075,0.95402,1.93033,1.32624,0.77659,0.81474,0.80541,0.65854,1.26112,1.18146,1.17233,8.76602e-06,8.76602e-06,8.76602e-06
10,28.4672,1.1252,2.62913,1.5366,0.78397,0.80761,0.80534,0.65857,1.25915,1.18065,1.17479,9.75574e-06,9.75574e-06,9.75574e-06
11,31.6308,1.13358,2.11883,1.41306,0.79324,0.79578,0.80546,0.65914,1.24755,1.1739,1.17188,1.07219e-05,1.07219e-05,1.07219e-05
12,34.812,1.04418,1.43561,1.40794,0.80443,0.7852,0.80605,0.65878,1.23236,1.17149,1.16609,1.16645e-05,1.16645e-05,1.16645e-05
13,37.8431,0.96596,1.97721,1.17009,0.80509,0.79287,0.80584,0.65437,1.23456,1.17205,1.16844,1.25835e-05,1.25835e-05,1.25835e-05
14,40.8843,1.19746,1.50424,1.59246,0.81237,0.79261,0.8065,0.66292,1.23588,1.16625,1.16941,1.3479e-05,1.3479e-05,1.3479e-05
15,43.9795,0.75706,1.08761,1.03371,0.80977,0.79562,0.80638,0.66281,1.23362,1.16729,1.16864,1.43509e-05,1.43509e-05,1.43509e-05
16,46.9833,0.93838,1.54163,1.36843,0.8055,0.80007,0.80571,0.65036,1.23533,1.16444,1.17156,1.51993e-05,1.51993e-05,1.51993e-05
17,50.1027,0.86258,1.22681,1.14314,0.80999,0.8043,0.80681,0.64684,1.24201,1.16884,1.17702,1.60241e-05,1.60241e-05,1.60241e-05
18,53.4993,0.92781,1.04693,1.20336,0.80999,0.8043,0.80681,0.64684,1.24201,1.16884,1.17702,1.68253e-05,1.68253e-05,1.68253e-05
19,56.5807,0.86867,1.32822,1.09861,0.81005,0.81002,0.80842,0.64886,1.25406,1.17076,1.18706,1.7603e-05,1.7603e-05,1.7603e-05
20,59.6499,0.9759,1.096,1.31224,0.81005,0.81002,0.80842,0.64886,1.25406,1.17076,1.18706,1.83571e-05,1.83571e-05,1.83571e-05
21,63.027,1.04088,1.97318,1.49318,0.80031,0.81415,0.80004,0.64337,1.2626,1.19629,1.19465,1.90876e-05,1.90876e-05,1.90876e-05
22,66.0275,1.05074,1.47356,1.41197,0.80031,0.81415,0.80004,0.64337,1.2626,1.19629,1.19465,1.97946e-05,1.97946e-05,1.97946e-05
23,69.0757,0.8441,1.32598,1.34832,0.79145,0.82064,0.79047,0.63465,1.27107,1.21707,1.20526,2.0478e-05,2.0478e-05,2.0478e-05
24,72.067,1.11689,0.99041,1.47093,0.79145,0.82064,0.79047,0.63465,1.27107,1.21707,1.20526,2.11379e-05,2.11379e-05,2.11379e-05
25,75.118,0.82901,1.06758,1.27242,0.76653,0.81376,0.78761,0.63662,1.28193,1.25593,1.2109,2.17741e-05,2.17741e-05,2.17741e-05
26,78.1499,0.94688,1.13592,1.24354,0.76653,0.81376,0.78761,0.63662,1.28193,1.25593,1.2109,2.23869e-05,2.23869e-05,2.23869e-05
27,81.1916,0.74976,0.87899,1.26603,0.74592,0.81083,0.77682,0.62825,1.29729,1.26892,1.2194,2.2976e-05,2.2976e-05,2.2976e-05
28,84.2243,0.65807,0.72488,1.04003,0.74592,0.81083,0.77682,0.62825,1.29729,1.26892,1.2194,2.35417e-05,2.35417e-05,2.35417e-05
29,87.2881,0.82207,0.89864,1.15855,0.75681,0.77813,0.77423,0.62273,1.3184,1.28965,1.22418,2.40837e-05,2.40837e-05,2.40837e-05
